date,enso_nino34
1950-01-01,24.55
1950-02-01,25.06
1950-03-01,25.87
1950-04-01,26.28
1950-05-01,26.18
1950-06-01,26.46
1950-07-01,26.29
1950-08-01,25.88
1950-09-01,25.74
1950-10-01,25.69
1950-11-01,25.47
1950-12-01,25.29
1951-01-01,25.24
1951-02-01,25.71
1951-03-01,26.90
1951-04-01,27.58
1951-05-01,27.92
1951-06-01,27.73
1951-07-01,27.60
1951-08-01,27.02
1951-09-01,27.23
1951-10-01,27.20
1951-11-01,27.25
1951-12-01,26.91
1952-01-01,26.67
1952-02-01,26.74
1952-03-01,27.17
1952-04-01,27.80
1952-05-01,27.79
1952-06-01,27.18
1952-07-01,26.53
1952-08-01,26.30
1952-09-01,26.36
1952-10-01,26.26
1952-11-01,25.92
1952-12-01,26.21
1953-01-01,26.74
1953-02-01,27.00
1953-03-01,27.57
1953-04-01,28.04
1953-05-01,28.28
1953-06-01,28.12
1953-07-01,27.43
1953-08-01,26.94
1953-09-01,27.01
1953-10-01,26.87
1953-11-01,26.88
1953-12-01,27.00
1954-01-01,26.98
1954-02-01,27.03
1954-03-01,26.90
1954-04-01,26.64
1954-05-01,27.12
1954-06-01,26.80
1954-07-01,26.11
1954-08-01,25.43
1954-09-01,25.12
1954-10-01,25.23
1954-11-01,25.57
1954-12-01,25.26
1955-01-01,25.61
1955-02-01,25.81
1955-03-01,26.22
1955-04-01,26.60
1955-05-01,26.66
1955-06-01,26.55
1955-07-01,26.15
1955-08-01,25.51
1955-09-01,25.28
1955-10-01,24.41
1955-11-01,24.25
1955-12-01,24.57
1956-01-01,25.34
1956-02-01,25.76
1956-03-01,26.46
1956-04-01,26.85
1956-05-01,27.13
1956-06-01,26.81
1956-07-01,26.23
1956-08-01,25.68
1956-09-01,25.73
1956-10-01,25.75
1956-11-01,25.56
1956-12-01,25.71
1957-01-01,26.04
1957-02-01,26.54
1957-03-01,27.46
1957-04-01,28.23
1957-05-01,28.55
1957-06-01,28.36
1957-07-01,28.17
1957-08-01,27.69
1957-09-01,27.44
1957-10-01,27.42
1957-11-01,27.62
1957-12-01,27.90
1958-01-01,28.33
1958-02-01,28.24
1958-03-01,28.27
1958-04-01,28.27
1958-05-01,28.31
1958-06-01,27.99
1958-07-01,27.32
1958-08-01,26.85
1958-09-01,26.40
1958-10-01,26.45
1958-11-01,26.75
1958-12-01,26.62
1959-01-01,27.07
1959-02-01,27.18
1959-03-01,27.47
1959-04-01,27.88
1959-05-01,27.70
1959-06-01,27.37
1959-07-01,26.44
1959-08-01,26.09
1959-09-01,25.92
1959-10-01,26.24
1959-11-01,26.04
1959-12-01,26.18
1960-01-01,26.27
1960-02-01,26.29
1960-03-01,26.98
1960-04-01,27.49
1960-05-01,27.68
1960-06-01,27.24
1960-07-01,26.88
1960-08-01,26.70
1960-09-01,26.44
1960-10-01,26.22
1960-11-01,26.26
1960-12-01,26.22
1961-01-01,26.23
1961-02-01,26.56
1961-03-01,26.94
1961-04-01,27.36
1961-05-01,27.75
1961-06-01,27.67
1961-07-01,26.89
1961-08-01,26.19
1961-09-01,25.78
1961-10-01,25.71
1961-11-01,26.07
1961-12-01,25.97
1962-01-01,25.96
1962-02-01,26.19
1962-03-01,26.80
1962-04-01,27.13
1962-05-01,27.05
1962-06-01,27.08
1962-07-01,26.76
1962-08-01,26.33
1962-09-01,25.94
1962-10-01,25.97
1962-11-01,25.75
1962-12-01,25.67
1963-01-01,25.77
1963-02-01,26.22
1963-03-01,27.18
1963-04-01,27.78
1963-05-01,27.63
1963-06-01,27.62
1963-07-01,27.78
1963-08-01,27.48
1963-09-01,27.40
1963-10-01,27.36
1963-11-01,27.47
1963-12-01,27.62
1964-01-01,27.34
1964-02-01,27.13
1964-03-01,27.02
1964-04-01,26.95
1964-05-01,26.82
1964-06-01,26.59
1964-07-01,26.33
1964-08-01,25.60
1964-09-01,25.32
1964-10-01,25.37
1964-11-01,25.26
1964-12-01,25.23
1965-01-01,25.66
1965-02-01,26.19
1965-03-01,26.94
1965-04-01,27.38
1965-05-01,27.99
1965-06-01,28.09
1965-07-01,27.90
1965-08-01,27.97
1965-09-01,28.01
1965-10-01,28.17
1965-11-01,28.12
1965-12-01,27.96
1966-01-01,27.67
1966-02-01,27.55
1966-03-01,28.21
1966-04-01,28.16
1966-05-01,27.55
1966-06-01,27.64
1966-07-01,27.33
1966-08-01,26.48
